phase,layer,n_pairs,delta_norm_mean,direction_coherence,heldout_cosine_mean,heldout_positive_rate,permutation_p
public_task_span,6,32,0.44327430419106584,0.13975585834348803,-0.012508082235847318,0.5625,0.582089552238806
public_task_span,7,32,0.5524359585165031,0.13946301090810745,-0.013613209753954664,0.5625,0.5522388059701493
public_task_span,8,32,0.6516321497527612,0.1404287977929036,-0.022436896278055535,0.5625,0.572139303482587
public_task_span,9,32,0.6951312285489302,0.14664421824297913,-0.013746473380568391,0.5625,0.5771144278606966
public_task_span,10,32,0.8157858936871506,0.14514821889417867,-0.010877067671539897,0.5625,0.5522388059701493
public_task_span,11,32,0.9389636045703496,0.14452052748405994,-0.008913341417674345,0.5625,0.5572139303482587
public_task_span,12,32,0.991533281348537,0.14123057492566482,-0.017844841228279118,0.5625,0.5572139303482587
public_task_span,13,32,0.9941072274707228,0.14857336314355893,-0.017633905685023418,0.5625,0.6119402985074627
public_task_span,14,32,1.1438522489061747,0.2087931280423534,0.0744519151087625,0.5625,0.1890547263681592
public_task_span,15,32,1.2257639283982815,0.24502031500787735,0.12486474162324716,0.5625,0.03980099502487562
public_task_span,16,32,1.3858290480152302,0.30276625165545157,0.20495332340150557,0.65625,0.004975124378109453
public_task_span,17,32,1.5364270334873742,0.33481059787912304,0.24563309790823282,0.75,0.004975124378109453
public_task_span,18,32,1.7186194262653458,0.34869942693904044,0.26081361149701243,0.78125,0.004975124378109453
public_task_span,19,32,2.3239469916115683,0.4030801326947711,0.3258097399757489,0.875,0.004975124378109453
public_task_span,20,32,2.5210674271111735,0.40542522522656316,0.3275962607220837,0.9375,0.004975124378109453
public_task_span,21,32,2.7929511333626595,0.41465004020762497,0.33878960863818325,0.9375,0.004975124378109453
public_task_span,22,32,3.4376162994424027,0.44664011050446323,0.376959880005033,1.0,0.004975124378109453
public_task_span,23,32,4.057299400386134,0.4587320525149397,0.3911456143456695,1.0,0.004975124378109453
public_task_span,24,32,4.634243055491906,0.46313952311855255,0.3972188550850176,1.0,0.004975124378109453
public_task_span,25,32,5.289285374126029,0.4602024267900466,0.3943112078786809,0.96875,0.004975124378109453
public_task_span,26,32,5.876441005267898,0.46961076329015766,0.4062060629706321,0.96875,0.004975124378109453
public_task_span,27,32,6.693877377243782,0.4617661670159292,0.3970495167159691,0.96875,0.004975124378109453
public_task_span,28,32,7.792949656548446,0.4581161049308285,0.39228951616666674,0.96875,0.004975124378109453
public_task_span,29,32,8.631096875729613,0.4495933105635921,0.38144907853150556,0.96875,0.004975124378109453
public_task_span,30,32,10.442035116349023,0.4559368120117241,0.3902239431554034,0.9375,0.004975124378109453
public_task_span,31,32,11.469049912040187,0.45726131534354747,0.39190636395065603,0.9375,0.004975124378109453
public_task_span,32,32,12.774358930682121,0.4529228505205598,0.3867236213600851,0.875,0.004975124378109453
public_task_span,33,32,13.782508574360111,0.4594565355219613,0.39518026061425376,0.9375,0.004975124378109453
public_task_span,34,32,17.279266945142034,0.4612847375128068,0.39999540905476966,0.90625,0.004975124378109453
public_task_span,35,32,2.9054267300873953,0.46920141517922254,0.41096624934432996,0.90625,0.004975124378109453
final_prompt,0,32,0.050536713882900666,0.14501408401746094,-0.006252851493726633,0.5625,0.5472636815920398
final_prompt,1,32,0.10469366042616052,0.1712251984609061,0.0032075652953663034,0.5625,0.5024875621890548
