phase,layer,n_pairs,n_scenarios,delta_norm_mean,direction_coherence,heldout_cosine_mean,heldout_positive_rate,permutation_p,null_unit,null_draws
final_prompt,6,128,16,0.4171822081900748,0.08042829357535171,0.010616256332779832,0.515625,0.081817626953125,scenario_id,65536
final_prompt,7,128,16,0.48720056659697697,0.07938442237659532,0.004826203717595745,0.5078125,0.3137969970703125,scenario_id,65536
final_prompt,8,128,16,0.6455128533008656,0.07574192879661668,-0.0035335551430199772,0.4921875,0.6319732666015625,scenario_id,65536
final_prompt,9,128,16,0.8089909422062744,0.07993246495774334,0.003497140546494673,0.5078125,0.41680908203125,scenario_id,65536
final_prompt,10,128,16,0.9022593722614182,0.08860010120794981,0.01590389077621319,0.5546875,0.167266845703125,scenario_id,65536
final_prompt,11,128,16,0.9903687717588732,0.08757698875577809,0.011727072261970374,0.5546875,0.2397918701171875,scenario_id,65536
final_prompt,12,128,16,1.0451654359234448,0.0947553961925272,0.025774055044219965,0.6015625,0.0916595458984375,scenario_id,65536
final_prompt,13,128,16,1.2809108643597282,0.09460163920695099,0.022963606205529112,0.6171875,0.087188720703125,scenario_id,65536
final_prompt,14,128,16,1.39054316182049,0.09835474730952022,0.030172864621704754,0.609375,0.01708984375,scenario_id,65536
final_prompt,15,128,16,1.5358477049191586,0.10299040255155695,0.036398605936016654,0.671875,0.001373291015625,scenario_id,65536
final_prompt,16,128,16,1.6949664608706554,0.1451396805972232,0.0977373823181551,0.9140625,1.52587890625e-05,scenario_id,65536
final_prompt,17,128,16,1.9607217837359583,0.21475142585430332,0.18459961244944798,0.9765625,1.52587890625e-05,scenario_id,65536
final_prompt,18,128,16,2.9218433830639534,0.4856666845702596,0.4748883197026781,1.0,1.52587890625e-05,scenario_id,65536
final_prompt,19,128,16,5.0736615766655415,0.6589498644674929,0.6516851087410398,1.0,1.52587890625e-05,scenario_id,65536
final_prompt,20,128,16,7.3384237147133,0.7036451197990213,0.6973405961952391,1.0,1.52587890625e-05,scenario_id,65536
final_prompt,21,128,16,9.633695320928918,0.7354379328094766,0.7292327597107757,1.0,1.52587890625e-05,scenario_id,65536
final_prompt,22,128,16,11.477415280553258,0.7445392719246823,0.7385478882866741,1.0,1.52587890625e-05,scenario_id,65536
final_prompt,23,128,16,14.75434818836159,0.7349764352185892,0.7286462989476017,1.0,1.52587890625e-05,scenario_id,65536
final_prompt,24,128,16,17.2677260363571,0.7340936210176627,0.7271372660983151,1.0,1.52587890625e-05,scenario_id,65536
final_prompt,25,128,16,20.038916483720314,0.7505095493974452,0.7438292223913283,1.0,1.52587890625e-05,scenario_id,65536
final_prompt,26,128,16,23.417803529777057,0.7513175479184768,0.7443038507972628,1.0,1.52587890625e-05,scenario_id,65536
final_prompt,27,128,16,26.49423168328131,0.7531143425526108,0.7459956514278704,1.0,1.52587890625e-05,scenario_id,65536
final_prompt,28,128,16,30.52051587632048,0.7532501115005793,0.7458436325098294,1.0,1.52587890625e-05,scenario_id,65536
final_prompt,29,128,16,33.90829402754546,0.751255924624862,0.7436103352735051,1.0,1.52587890625e-05,scenario_id,65536
final_prompt,30,128,16,37.947608335175076,0.7511524593447295,0.7434851221265099,1.0,1.52587890625e-05,scenario_id,65536
final_prompt,31,128,16,41.71166732942308,0.7374998328081201,0.7293924569336139,1.0,1.52587890625e-05,scenario_id,65536
final_prompt,32,128,16,45.846028724290534,0.7274688839041927,0.7190364294189295,1.0,1.52587890625e-05,scenario_id,65536
final_prompt,33,128,16,50.85552734764918,0.7103430877474495,0.7014347116893771,1.0,1.52587890625e-05,scenario_id,65536
final_prompt,34,128,16,58.93790960691389,0.6992427450551449,0.6897573103954847,1.0,1.52587890625e-05,scenario_id,65536
final_prompt,35,128,16,13.607507818308246,0.6822082909413749,0.6724325275122149,1.0,1.52587890625e-05,scenario_id,65536
response_first,0,128,16,0.03888430635544152,0.08562978329803433,0.0068133993089581,0.5078125,0.1136932373046875,scenario_id,65536
response_first,1,128,16,0.10092601150910602,0.08362597417481751,0.028403547904813926,0.59375,0.0146942138671875,scenario_id,65536
response_first,2,128,16,0.1628317678409294,0.07858536800777084,0.018962572968961214,0.6015625,0.0086517333984375,scenario_id,65536
response_first,3,128,16,0.2628410817738423,0.08878154943844944,0.033967520095675566,0.5546875,0.0355377197265625,scenario_id,65536
response_first,4,128,16,0.36809298844570426,0.08728136585150732,0.030191862519930838,0.578125,0.0194549560546875,scenario_id,65536
response_first,5,128,16,0.46800019963025985,0.09037870779865291,0.03153527564037698,0.5859375,0.012969970703125,scenario_id,65536
response_first,6,128,16,0.517204236169552,0.09920542225766515,0.04262168208053095,0.578125,0.0019683837890625,scenario_id,65536
response_first,7,128,16,0.606751207541929,0.10836048553291971,0.05678932944294322,0.65625,0.0004730224609375,scenario_id,65536
response_first,8,128,16,0.9835894957157966,0.0914996396864315,0.05363347827545825,0.6796875,0.0001678466796875,scenario_id,65536
response_first,9,128,16,1.237058182955375,0.07701542593803869,0.035774259839188305,0.6171875,0.001129150390625,scenario_id,65536
response_first,10,128,16,1.2027813193928147,0.08077217214257985,0.038087779792109776,0.625,0.0022430419921875,scenario_id,65536
response_first,11,128,16,1.439550421742923,0.07261030810668462,0.027430648308336435,0.640625,0.002349853515625,scenario_id,65536
response_first,12,128,16,1.6202297976231952,0.07356359669762495,0.029452519526133866,0.6328125,0.0009918212890625,scenario_id,65536
response_first,13,128,16,1.7828648584345728,0.07889336277311275,0.03341904291803735,0.625,0.0010528564453125,scenario_id,65536
response_first,14,128,16,1.8442760717404512,0.0906350026814991,0.0463777424341672,0.671875,7.62939453125e-05,scenario_id,65536
response_first,15,128,16,2.1067670124124924,0.11725619116624927,0.0810885615699704,0.8125,1.52587890625e-05,scenario_id,65536
response_first,16,128,16,2.160219344956097,0.1753710009454314,0.1488608278248142,0.90625,1.52587890625e-05,scenario_id,65536
response_first,17,128,16,2.473105564592909,0.2139142201208897,0.19134881390605063,0.953125,1.52587890625e-05,scenario_id,65536
response_first,18,128,16,3.2160552410279077,0.3045977858077162,0.28928643621003636,0.984375,1.52587890625e-05,scenario_id,65536
response_first,19,128,16,4.133843633497906,0.4007269741113931,0.38773335407980714,0.9921875,1.52587890625e-05,scenario_id,65536
response_first,20,128,16,5.559760768335103,0.524615748528503,0.5137821526205735,1.0,1.52587890625e-05,scenario_id,65536
response_first,21,128,16,7.553769504232724,0.5977343979346689,0.5882315278277652,1.0,1.52587890625e-05,scenario_id,65536
response_first,22,128,16,8.860718975156407,0.6278355562172192,0.6188377482653653,1.0,1.52587890625e-05,scenario_id,65536
response_first,23,128,16,10.475743731751685,0.6303242621046451,0.6211037218536415,1.0,1.52587890625e-05,scenario_id,65536
response_first,24,128,16,12.35945956065542,0.6351324265645308,0.6254822037815059,1.0,1.52587890625e-05,scenario_id,65536
response_first,25,128,16,14.129540481339959,0.6457287911952234,0.6360229387066301,1.0,1.52587890625e-05,scenario_id,65536
response_first,26,128,16,15.745642151540055,0.6485875740317608,0.6386023439655941,1.0,1.52587890625e-05,scenario_id,65536
response_first,27,128,16,17.520674310468358,0.6532636109540663,0.6433480798963851,1.0,1.52587890625e-05,scenario_id,65536
response_first,28,128,16,19.46234128723944,0.6508277258924531,0.64054358682817,1.0,1.52587890625e-05,scenario_id,65536
response_first,29,128,16,21.959731427791887,0.6524026779482174,0.6411880722775003,1.0,1.52587890625e-05,scenario_id,65536
response_first,30,128,16,24.187552902734254,0.6536928769562981,0.6425329078857017,1.0,1.52587890625e-05,scenario_id,65536
response_first,31,128,16,25.88275797162003,0.652076131008255,0.6408019598385809,1.0,1.52587890625e-05,scenario_id,65536
response_first,32,128,16,28.746112243988776,0.6540632097636977,0.642979517993486,1.0,1.52587890625e-05,scenario_id,65536
response_first,33,128,16,33.733159653416024,0.6471962457205811,0.6352666632762078,1.0,1.52587890625e-05,scenario_id,65536
response_first,34,128,16,42.281545532515615,0.6522397728447388,0.6411544446411088,0.9921875,1.52587890625e-05,scenario_id,65536
response_first,35,128,16,13.299716053743545,0.7510616916650629,0.7447907049069514,0.9765625,1.52587890625e-05,scenario_id,65536
response_mean,0,128,16,0.022045041590069737,0.07258280545578863,0.011025694948291474,0.5546875,0.1932525634765625,scenario_id,65536
response_mean,1,128,16,0.05065973022880428,0.06051863787448995,-0.003993440066580619,0.453125,0.7652587890625,scenario_id,65536
response_mean,2,128,16,0.08596030472015051,0.06018622179590753,-0.0022618459953719114,0.484375,0.63165283203125,scenario_id,65536
response_mean,3,128,16,0.12999177203592954,0.06993709500161614,0.012771300134255311,0.578125,0.050811767578125,scenario_id,65536
